landingPagePlusQueryString,activeUsers,newUsers,sessions,engagedSessions,engagementRate,averageSessionDuration,keyEvents
(not set),86,0,103,3,0.029126213592233011,7.5181769902912619,1
/itr-filing-for-crypto-trading-in-india/,78,83,95,55,0.57894736842105265,203.58770798947367,9
/itr-filing-for-healthcare-industry/,74,74,77,40,0.51948051948051943,154.16884876623374,2
/itr-filing-for-food-and-beverage-industry/,70,71,73,41,0.56164383561643838,79.9681194109589,1
/,51,50,55,41,0.74545454545454548,109.34151943636364,42
/itr-filing-for-content-creators-influencers/,51,53,58,32,0.55172413793103448,173.53011896551723,1
/itr-filing-for-beauty-wellness-industry/,43,47,45,31,0.68888888888888888,90.956651622222211,0
/tds-chart-for-fy-2026-27/,35,36,35,27,0.77142857142857146,169.00710374285714,5
/due-date/july/,33,34,35,19,0.54285714285714282,135.60084942857142,1
/itr-filing-for-event-management-and-entertainment-professionals/,32,32,38,23,0.60526315789473684,266.73253818421051,2
/tax-guides/gst-itc-relief-supplier/,30,30,34,24,0.70588235294117652,134.60296688235292,0
/itr-filing-for-e-commerce-industry/,27,27,33,20,0.60606060606060608,153.26589312121212,3
/itr-filing-for-nri-guide-for-non-resident-taxation/,24,25,26,12,0.46153846153846156,201.64753726923075,0
/tax-guides/itr-7-filing-guide-trusts-ngos/,23,24,25,15,0.6,128.45864364,1
/itr-filing-for-real-estate-construction/,21,21,21,11,0.52380952380952384,115.8219489047619,0
/income-tax-return-filing-in-mumbai/,19,17,20,14,0.7,107.4566253,15
/itr-filing-for-wholesale-retail-trade-industry/,19,19,20,8,0.4,17.63618345,0
/madras-high-court-gst-notice-service-judgment/,19,21,19,13,0.68421052631578949,172.64172263157897,2
/reporting-of-statement-of-donation-form-10bd/,15,17,15,10,0.66666666666666663,163.43660726666667,1
/income-tax-portal-enables-payments-through-upi-payment-method/,14,15,15,14,0.93333333333333335,90.196333733333347,0
/tax-guides/partnership-firm-registration-maharashtra/,14,14,16,7,0.4375,63.155229437500005,1
/blog-bank-transaction-limits-tax-rules-every-mumbai-freelancer-must-know-2026/,9,10,9,3,0.33333333333333331,51.696665444444449,1
/mca-extension-due-date-of-annual-filling/,7,8,7,5,0.7142857142857143,32.126196857142858,0
/cbdt-condones-80p-deduction-ay-23-24/,6,6,6,3,0.5,54.269022,3
/charitable-trusts-alert-its-time-reapply-for-tax-exemption-before-30th-sep/,6,7,7,4,0.5714285714285714,154.87887428571429,0
/finalisation-of-accounts-9-things-you-must-never-miss-out/,5,5,5,3,0.6,259.4908384,0
/gst-cash-credit-account-relief-bombay-hc/,5,5,5,5,1,356.406751,1
/waiver-of-late-fees-for-gst-annual-return/,5,6,5,3,0.6,55.9445496,0
/accounting-services/,4,4,4,2,0.5,351.12907525,4
/dos-and-donts-for-salaried-persons-itr/,4,4,4,3,0.75,736.1559985,0
/patanjali-gst-penalty-case-hc-examines-section-122/,4,4,4,3,0.75,69.95367725,1
/sebi-interim-order-gensol-engineering-ltd-2025/,4,7,6,4,0.66666666666666663,7.0168800000000005,1
/allahabad-high-court-gst-excess-stock-confiscation/,3,3,7,3,0.42857142857142855,253.710835,0
/best-time-to-file-itr/,3,3,3,2,0.66666666666666663,24.795441666666665,3
/bombay-hc-gst-bank-recovery-notice/,3,3,3,1,0.33333333333333331,14.626950333333333,0
